STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TempAvg,TempMax,TempMin,Fog,Thunder,Ice Pellets,Hail,Smoke
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/20/2018,0,,,,56,36,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/21/2018,0,0,0,,56,34,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/22/2018,,,,,59,37,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/23/2018,,0,0,,59,37,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/24/2018,0.25,,,,48,37,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/25/2018,0,,,,49,32,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/26/2018,0.03,,,,54,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/27/2018,0,0,0,,47,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/28/2018,0.06,0,0,,59,44,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/29/2018,0,,,,54,43,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/30/2018,0,,,,54,44,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/31/2018,0,,,,61,45,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/1/2018,0.03,,,,59,42,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/2/2018,0,,,,54,30,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/3/2018,0,0,0,,55,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/4/2018,0.06,,,,51,40,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/5/2018,0.14,,,,49,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/6/2018,0.33,,,,54,46,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/7/2018,0.56,,,,64,52,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/8/2018,1.12,,,,53,45,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/9/2018,0.08,,,,55,43,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/10/2018,0.35,,,,62,45,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/11/2018,0.18,,,,60,44,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/12/2018,,,,,,,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/13/2018,0.36,,,,53,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/14/2018,1,,,,51,45,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/15/2018,1.13,,,,53,42,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/16/2018,0.14,,,,51,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/17/2018,0.14,0,0,,52,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/18/2018,0,,,,55,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/19/2018,0,,,,57,37,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/20/2018,0,0,0,,62,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/21/2018,0.05,,,,63,43,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/22/2018,0.08,,,,58,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/23/2018,0,0,0,,59,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/24/2018,0,,,,68,44,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/25/2018,0,0,0,,76,44,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/26/2018,0,0,0,,77,47,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/27/2018,0,,,,81,48,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/28/2018,0.27,,,,62,48,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/29/2018,1.02,,,,56,45,,,,,
